date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:10	7825/7825	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e91-18930847b40%22	https://www.uscholars.in/_next/static/chunks/pages/why-study-abroad-9f0f782efa64de67.js	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/chunks/pages/why-study-abroad-9f0f782efa64de67.js	(from https://www.uscholars.in/why-study-abroad)
10:25:12	887/887	---M-Z	200	added ('OK')	text/css	etag:W/%22377-18930847b40-gzip%22	https://www.uscholars.in/_next/static/css/f674cdb1cdf1b537.css	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/css/f674cdb1cdf1b537.css	(from https://www.uscholars.in/blog)
10:25:12	690854/690854	---M--	200	added ('OK')	image/jpeg	etag:2157h3yvF5Kc1JeGVPGwZwcMaeosDxNFDWJb4m6-G6E=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Fwhy_study_in_uk%2Fbanner_image%2Fedited-1.jpg&w=3840&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/edited-156e9.jpeg	(from https://www.uscholars.in/why-study-abroad)
10:25:12	3600/3600	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e10-18930847b40%22	https://www.uscholars.in/_next/static/chunks/pages/blog-f842fef312decb9b.js	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/static/chunks/pages/blog-f842fef312decb9b.js	(from https://www.uscholars.in/blog)
10:25:13	113257/113257	---MCZ	200	added ('OK')	text/html	etag:%22x0vjaag1jq2fe1%22	https://www.uscholars.in/blog/student-accommodation-for-indian-students-in-uk	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/blog/student-accommodation-for-indian-students-in-uk.html	(from https://www.uscholars.in/blog)
10:25:14	85565/85565	---M--	200	added ('OK')	image/jpeg	etag:1LiNsvKVFxfGq6pPgXpoPXXLbr+IoZ3ux9xAS1AgbQY=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Fblog%2FStudent_Accommodation_for_Indian.jpg&w=3840&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/Student_Accommodation_for_Indian8c63.jpeg	(from https://www.uscholars.in/blog)
10:25:16	214267/214267	---MCZ	200	added ('OK')	text/html	etag:%223mipkasr8j4la5%22	https://www.uscholars.in/universities?city__country__name=united%20kingdom&page=1	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/universities6e13.html	(from https://www.uscholars.in/universities?city__country__name=united+kingdom&page=1)
10:25:16	2428/2428	---M--	200	added ('OK')	image/png	etag:lcoF82tBcju1E7TitiuELkMFerg--LrXwiE7QIkqS2o=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Finstitutions%2FScreenshot_2023-04-05_174121.png&w=384&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/Screenshot_2023-04-05_174121a0a4.png	(from https://www.uscholars.in/universities?city__country__name=usa&page=1&ordering=name)
10:25:16	130257/130257	---MCZ	200	added ('OK')	text/html	etag:%22zv5y4wk5r22si5%22	https://www.uscholars.in/enquiry?university=adelphi-university	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/enquiry9199.html	(from https://www.uscholars.in/universities?city__country__name=usa&page=1&ordering=name)
10:25:17	92500/92500	---MCZ	200	added ('OK')	text/html	etag:%2267coobcngg1zdg%22	https://www.uscholars.in/universities/profile/adelphi-university	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/universities/profile/adelphi-university.html	(from https://www.uscholars.in/universities?city__country__name=usa&page=1&ordering=name)
10:25:17	6084/6084	---M--	200	added ('OK')	image/png	etag:0Ygyv2nYV2ilmpOkFQIb3Q-yKFIg7Kn8oIwHwLZNyts=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Finstitutions%2FCaptura-de-Tela-2019-10-14-as-13.46.06.png.png&w=384&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/Captura-de-Tela-2019-10-14-as-1325f0.png	(from https://www.uscholars.in/universities?city__country__name=usa&page=1&ordering=name)
10:25:18	130129/130129	---MCZ	200	added ('OK')	text/html	etag:%22zvspm7zqe2sel%22	https://www.uscholars.in/enquiry?university=american-collegiate-dc	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/enquiry1c72.html	(from https://www.uscholars.in/universities?city__country__name=usa&page=1&ordering=name)
10:25:18	92447/92447	---MCZ	200	added ('OK')	text/html	etag:%22ilm4h0mtwc1zbz%22	https://www.uscholars.in/universities/profile/american-collegiate-dc	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/universities/profile/american-collegiate-dc.html	(from https://www.uscholars.in/universities?city__country__name=usa&page=1&ordering=name)
10:25:18	5430/5430	---M--	200	added ('OK')	image/jpeg	etag:AfpuMXuYh12bGffSzHJ0QJvqbgkmkSk1sNpe300tYhk=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Finstitutions%2FACLA_logomark_dark-gray.jpg&w=384&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/ACLA_logomark_dark-gray3932.jpeg	(from https://www.uscholars.in/universities?city__country__name=usa&page=1&ordering=name)
10:25:19	130126/130126	---MCZ	200	added ('OK')	text/html	etag:%22dbemwlcja62sei%22	https://www.uscholars.in/enquiry?university=american-collegiate-la	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/enquiry0902.html	(from https://www.uscholars.in/universities?city__country__name=usa&page=1&ordering=name)
10:25:19	92229/92229	---MCZ	200	added ('OK')	text/html	etag:%2210z2146fv3r1z5x%22	https://www.uscholars.in/universities/profile/american-collegiate-la	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/universities/profile/american-collegiate-la.html	(from https://www.uscholars.in/universities?city__country__name=usa&page=1&ordering=name)
10:25:19	2573/2573	---M--	200	added ('OK')	image/png	etag:HTYNc-MlsQhXhJwxaj61VwDDGRZQqbak9wvz7m1KrIg=	https://www.uscholars.in/_next/image?url=http%3A%2F%2Fapp.uscholars.in%2Fmedia%2Finstitutions%2Fimages_V8MZIr8.png&w=384&q=75	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/_next/images_V8MZIr85580.png	(from https://www.uscholars.in/universities?city__country__name=usa&page=1&ordering=name)
10:25:20	130330/130330	---MCZ	200	added ('OK')	text/html	etag:%221865o6xb75p2sk6%22	https://www.uscholars.in/enquiry?university=american-university	C:/CATHOLIC-HUB/catholic%20hub/www.uscholars.in/enquiry228c.html	(from https://www.uscholars.in/universities?city__country__name=usa&page=1&ordering=name)
